Generic Name,Shortage Status,Revision Date,Created Date,NDC Codes
Alcohol Dehydrated Injection (Ethanol),Resolved Shortages,"Jun 24, 2019","Nov 16, 2016",17478-0503-05;62250-0105-02;71414-0301-05;71414-0305-05
Alcohol Dehydrated Injection (Ethanol),Resolved Shortages,"Dec 08, 2020","Mar 09, 2020",13925-0177-10;17478-0503-05;62250-0105-02
Alfentanil Injection,Discontinued Drugs,"Feb 22, 2023","Apr 26, 2022",17478-0067-02;17478-0067-05
Alfuzosin Extended-Release Tablets,Resolved Shortages,"May 22, 2024","Aug 07, 2023",29300-0155-01;29300-0155-19;57237-0114-90;59212-0200-10;76282-0302-01
Alpha-1 Proteinase Inhibitor,Resolved Shortages,"May 08, 2019","Aug 15, 2018",00053-7201-20
Alprostadil Urethral Suppositories,Resolved Shortages,"Jun 14, 2021","Oct 21, 2019",00037-8110-06;00037-8120-06;00037-8130-06;00037-8140-06
Alprostadil Urethral Suppositories,Discontinued Drugs,"Aug 29, 2024","Jul 19, 2022",00037-8120-06;00037-8130-06;00037-8140-06
Alteplase Injection,Resolved Shortages,"Nov 22, 2024","Nov 05, 2021",50242-0044-13;50242-0065-27
Alteplase Injection,Resolved Shortages,"Jan 11, 2022","Nov 05, 2021",50242-0044-13;50242-0065-27
Alteplase Injection,Current Shortages,"Aug 09, 2025","Nov 22, 2024",50242-0044-13;50242-0065-27
Alteplase Injection (Cathflo Activase),Resolved Shortages,"Nov 22, 2024","Jun 21, 2024",50242-0041-10;50242-0041-64
Ambrisentan Tablets,Resolved Shortages,"Dec 05, 2024","May 07, 2024",00378-4270-93;00378-4271-93;00591-2405-30;00591-2406-30;47335-0236-83;47335-0237-83;60505-4552-03;60505-4553-03;61958-0801-01;61958-0801-05;61958-0802-01;61958-0802-05;69097-0386-02;69097-0387-02;70710-1179-03;70710-1180-03
Amifostine Injection,Resolved Shortages,"Dec 01, 2016","Nov 29, 2016",55390-0308-03;66220-0017-03
Amifostine Injection,Discontinued Drugs,"Apr 24, 2025","May 26, 2020",76310-0017-50
Amikacin Injection,Resolved Shortages,"Apr 03, 2017","Aug 26, 2015",00641-6166-10;00641-6167-10;00703-9032-03;00703-9040-03;23155-0290-41;23155-0290-42;63323-0815-02;63323-0815-04
Amino Acid Products,Resolved Shortages,"May 17, 2016","Jun 03, 2015",00264-1909-55;00264-1915-07;00264-3200-55;00264-9010-55;00264-9341-55;00264-9350-55;00264-9361-55;00264-9371-55;00338-0499-06;00338-0502-03;00338-0502-06;00338-0644-03;00338-0644-04;00338-0644-06;00338-1130-03;00338-1130-04;00338-1130-06;00338-1131-03;00409-4162-03;00409-4164-03;00409-4164-05;00409-4166-03;00409-4168-03;00409-4171-03;00409-4178-03;00409-4179-05;00409-4187-03;00409-4191-03;00409-4191-05;00409-4196-05;00409-4203-03;00409-7171-17;00409-7172-17
Amino Acid Products,Resolved Shortages,"Apr 11, 2019","Mar 03, 2017",00264-1909-55;00264-1915-07;00264-3200-55;00264-9010-55;00264-9341-55;00264-9350-55;00264-9361-55;00264-9371-55;00338-0499-06;00338-0502-03;00338-0502-06;00338-0644-03;00338-0644-04;00338-0644-06;00338-1130-03;00338-1130-04;00338-1130-06;00338-1131-03;00409-4178-03;00409-4179-05;00409-7171-17;00409-7172-17
Amino Acid Products,Current Shortages,"Aug 06, 2025","May 15, 2019",00264-1933-10;00264-4500-00;00264-4500-05;00338-0499-06;00338-0502-03;00338-0502-06;00338-0644-03;00338-0644-04;00338-0644-06;00338-1130-03;00338-1130-04;00338-1130-06;00990-4178-03;00990-4179-05;00990-7171-17;00990-7172-17
Amino Acid Products with Electrolytes and Calcium,Resolved Shortages,"Nov 14, 2018","Oct 14, 2017",00338-1107-04;00338-1109-04;00338-1113-04;00338-1115-04;00338-1119-04;00338-1123-04;00338-1125-04;00338-1127-04;00338-1142-03;00338-1143-03;00338-1144-03;00338-1145-03;00338-1146-03;00338-1147-03;00338-1148-03;00338-1149-03;00338-9566-08;00338-9570-08;00338-9578-04
Amino Acids in Dextrose,Resolved Shortages,"Nov 14, 2018","Oct 14, 2017",00338-1089-04;00338-1091-04;00338-1093-04;00338-1095-04;00338-1099-04;00338-1101-04;00338-1103-04;00338-1132-03;00338-1133-03;00338-1134-03;00338-1135-03;00338-1136-03;00338-1137-03;00338-1138-03;00338-1139-03
Aminocaproic Acid Injection,Resolved Shortages,"Jun 30, 2016","Jan 27, 2016",00409-4346-73
Aminocaproic Acid Injection,Resolved Shortages,"Nov 06, 2018","Sep 18, 2017",00409-4346-73
Aminocaproic Acid Injection,Resolved Shortages,"Aug 03, 2020","Jan 24, 2020",00409-4346-73;00517-9120-25
Aminocaproic Acid Injection,Resolved Shortages,"Apr 07, 2024","May 27, 2022",00409-4346-73;00517-9120-25
Aminocaproic Acid Injection,Current Shortages,"Jul 21, 2025","Mar 19, 2025",00409-4346-73;00517-9120-25
Aminocaproic Acid Oral Presentations,Resolved Shortages,"Feb 01, 2024","Aug 28, 2015",00904-7165-07;49411-0050-30;49411-0051-30;49411-0052-08;52817-0815-08;61748-0044-08;61748-0044-16;61748-0045-01;61748-0045-11;61748-0046-01;62559-0225-30;69238-1637-03;69680-0115-30;69680-0116-30;70377-0102-11;70377-0103-11;70377-0104-11;72205-0049-30
Aminolevulinic Acid Powder for Oral Solution,Resolved Shortages,"Jun 04, 2025","May 01, 2025",71469-0231-01
Aminophylline Injection,Resolved Shortages,"Jun 22, 2020","Mar 27, 2018",00409-5921-01;00409-5922-01
Aminophylline Injection,Resolved Shortages,"Mar 08, 2025","Oct 12, 2021",00409-5921-01;00409-5922-01
